ID,text,pos,neg,PRP$,VBG,VBD,VBN,VBP,JJ,WP,VBZ,DT,RP,NN,),(,",",.,TO,PRP,RB,:,NNS,NNP,VB,WRB,CC,IN,MD,JJS,label,direction,tense,overall_polarity,event_polarity,action_polarity
1,This was the best summer I have ever experienced.,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,joy,self,na,positive,na,neut
2,I had a blast in california hanging out with my family and friends.,0.0,0.0714285714286,0.0714285714286,0.0714285714286,0.0714285714286,0.0,0.0,0.0,0.0,0.0,0.0714285714286,0.0714285714286,0.214285714286,0.0,0.0,0.0,0.0714285714286,0.0,0.0714285714286,0.0,0.0,0.0714285714286,0.0,0.0,0.0,0.0714285714286,0.142857142857,0.0,0.0,joy,self,past,negative,negative,negative
3,:) I love ya :),0.142857142857,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.285714285714,0.0,0.0,0.0,0.0,0.142857142857,0.142857142857,0.285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joy,other,na,positive,na,na
4,"My best friend, her grandma doris and my sisterfriend planned a surprise baby shower for me and hailey on saturday.",0.0454545454545,0.0,0.136363636364,0.0,0.0454545454545,0.0,0.0,0.0454545454545,0.0,0.0,0.0454545454545,0.0,0.318181818182,0.0,0.0,0.0454545454545,0.0454545454545,0.0,0.0454545454545,0.0,0.0,0.0,0.0,0.0454545454545,0.0,0.0909090909091,0.0909090909091,0.0,0.0454545454545,surprise,other,past,positive,neut,neut
5,Thank you so much for everyone who came.,0.0,0.0,0.0,0.0,0.111111111111,0.0,0.0,0.111111111111,0.111111111111,0.0,0.0,0.0,0.111111111111,0.0,0.0,0.0,0.111111111111,0.0,0.111111111111,0.111111111111,0.0,0.0,0.111111111111,0.0,0.0,0.0,0.111111111111,0.0,0.0,joy,other,na,neut,na,neut
6,:) Hailey recieved many gift cards (because I couldn't bring that much on the plane back home) and cute baby clothes and toys!!,0.0344827586207,0.0,0.0,0.0,0.0344827586207,0.0,0.0,0.0689655172414,0.0,0.0344827586207,0.0344827586207,0.0,0.137931034483,0.0689655172414,0.0344827586207,0.0,0.0689655172414,0.0,0.0344827586207,0.137931034483,0.0344827586207,0.0689655172414,0.0344827586207,0.0344827586207,0.0,0.0689655172414,0.0689655172414,0.0344827586207,0.0,joy,self,present,positive,positive,positive
7,"So many lies about who you're talking to, where you're going, what you're doing.",0.0,0.05,0.0,0.15,0.0,0.0,0.15,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.05,0.15,0.05,0.0,0.05,0.0,0.0,0.05,0.0,0.05,0.0,0.0,disgust,other,present,negative,neut,negative
8,My life is falling apart and I don't mean online.,0.0,0.0833333333333,0.0833333333333,0.0833333333333,0.0,0.0,0.0833333333333,0.0,0.0,0.0833333333333,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.0833333333333,0.0,0.0833333333333,0.166666666667,0.0,0.0,0.0,0.0833333333333,0.0,0.0833333333333,0.0,0.0,0.0,sadness,self,na,negative,na,negative
9,"I'm becoming a broken toy and now that I have had twelve (I counted) vials of blood drawn, I just feel like I'm compltely useless.",0.0322580645161,0.0645161290323,0.0,0.0322580645161,0.0,0.0967741935484,0.129032258065,0.0645161290323,0.0,0.0,0.0322580645161,0.0,0.0967741935484,0.0322580645161,0.0322580645161,0.0322580645161,0.0322580645161,0.0,0.161290322581,0.0967741935484,0.0,0.0322580645161,0.0,0.0,0.0,0.0322580645161,0.0967741935484,0.0,0.0,sadness,self,past,negative,neut,negative
10,"I broke my leg, and my head hurts, and Jack lost my money.",0.0,0.1875,0.1875,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0,0.0,0.0,sadness,self,past,negative,neut,negative
11,John and my friend planned a baby shower for me and cooked lunch.,0.0,0.0,0.0714285714286,0.0,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0714285714286,0.0,0.285714285714,0.0,0.0,0.0,0.0714285714286,0.0,0.0714285714286,0.0,0.0,0.0,0.0714285714286,0.0,0.0,0.142857142857,0.0714285714286,0.0,0.0,sadness,other,past,neut,neut,neut
